analysis_sample_rate,artist_7digitalid,artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_mbid,artist_name,artist_playmeid,audio_md5,danceability,duration,end_of_fade_in,energy,key,key_confidence,loudness,mode,mode_confidence,release,release_7digitalid,song_hotttnesss,song_id,start_of_fade_out,tempo,time_signature,time_signature_confidence,title,track_7digitalid,track_id,year
"22050","165270","0.581793765845","0.401997543364","ARD7TVE1187B99BFB1","nan","California - LA","nan","e77e51a5-4761-45b3-9847-2051f811e366","Casual","4479","a222795e07cd65b7a530f1346f520649","0.0","218.93179","0.247","0.0","1","0.736","-11.197","0","0.636","Fear Itself","300848","0.602119989906","SOMZWCG12A8C13C480","218.932","92.198","4","0.778","I Didn't Mean To","3401791","TRAAAAW128F429D538","0"
"22050","1998","0.63063003759","0.417499644971","ARMJAGH1187FB546F3","35.14968","Memphis, TN","-90.04892","1c78ab62-db33-4433-8d0b-7c8dcf1849c2","The Box Tops","22066","bb9771eeef3d5b204a3c55e690f52a91","0.0","148.03546","0.148","0.0","6","0.169","-9.843","0","0.43","Dimensions","300822","nan","SOCIWDW12A8C13D406","137.915","121.274","4","0.384","Soul Deep","3400270","TRAAABD128F429CF47","1969"
"22050","290021","0.487356790928","0.343428378297","ARKRRTF1187B9984DA","nan","","nan","7a273984-edd9-4451-9c4d-39b38f05ebcd","Sonora Santanera","13951","fa329738005ca53715d9f7381a0d1fe3","0.0","177.47546","0.282","0.0","8","0.643","-9.689","1","0.565","Las Numero 1 De La Sonora Santanera","514953","nan","SOXVLOJ12AB0189215","172.304","100.07","1","0.0","Amor De Cabaret","5703798","TRAAADZ128F9348C2E","0"
"22050","19072","0.630382334147","0.454231156571","AR7G5I41187FB4CE6C","nan","London, England","nan","e188a520-9cb7-4f73-a3d7-2f70c6538e92","Adam Ant","12697","43cd1abd45d5a2dda16a3c65b4963bd4","0.0","233.40363","0.0","0.0","0","0.751","-9.013","1","0.749","Friend Or Foe","287650","nan","SONHOTT12A8C13493C","217.124","119.293","4","0.0","Something Girls","3226795","TRAAAEF128F4273421","1982"
"22050","30973","0.651045660832","0.401723685504","ARXR32B1187FB57099","nan","","nan","c6903a2e-063c-4f91-a284-17b8f421be7b","Gob","8355","580a8fe08ef0f1c7734b84547d7a8bc7","0.0","209.60608","0.066","0.0","2","0.092","-4.501","1","0.371","Muertos Vivos","611336","0.604500738589","SOFSOCN12A8C143F5D","198.699","129.738","4","0.562","Face the Ashes","6795666","TRAAAFD128F92F423A","2007"
"22050","432935","0.535292735512","0.385470550556","ARKFYS91187B98E58F","nan","","nan","79c403f9-5467-4f23-8426-9ca3fc60a115","Jeff And Sheri Easter","63801","8ee90e90bb8714300574486f379effb5","0.0","267.7024","2.264","0.0","5","0.635","-9.323","1","0.557","Ordinary Day","41838","nan","SOYMRWW12A6D4FAB14","254.27","147.782","3","0.454","The Moon And I (Ordinary Day Album Version)","444964","TRAAAMO128F1481E7F","0"
"22050","17970","0.556495601913","0.261941177381","ARD0S291187B9B7BF5","nan","Ohio","nan","56503d6d-094e-4c28-ae3d-04cc748ade5b","Rated R","-1","0e574964bf7a546a39e039f6e35aa48a","0.0","114.78159","0.096","0.0","1","0.0","-17.302","1","0.0","Da Ghetto Psychic","25824","nan","SOMJBYD12A6D4F8557","114.782","111.787","1","0.0","Keepin It Real (Skit)","276593","TRAAAMQ128F1460CD3","0"
"22050","21128","0.801136446997","0.605507135691","AR10USD1187B99F3F1","nan","Burlington, Ontario, Canada","nan","d89de379-665d-425c-b2e9-41b95d1edb36","Tweeterfriendly Music","-1","1741d2c1bd271f10e783634f286746e2","0.0","189.57016","0.319","0.0","4","0.0","-11.642","0","0.16","Gin & Phonic","8876","nan","SOHKNRJ12A6701D1F8","181.023","101.43","3","0.408","Drop of Rain","90004","TRAAAPK128E0786D96","0"
"22050","276891","0.426667857069","0.332275746599","AR8ZCNI1187B9A069B","nan","","nan","19d232b9-b4d7-4dc8-b259-bf65efb655b1","Planet P Project","-1","eda960ea61211d980653d589e8e74c1d","0.0","269.81832","5.3","0.0","4","0.717","-13.496","1","0.652","Pink World","358182","0.265861049211","SOIAZJW12AB01853F1","258.99","86.643","4","0.487","Pink World","3996579","TRAAARJ128F9320760","1984"
"22050","242273","0.550513697848","0.422705641029","ARNTLGG11E2835DDB9","nan","","nan","4d96f7d0-2f0e-4e92-ba70-a405f96f8cec","Clp","-1","c76afe800148e674a30629a4686d7f9f","0.0","266.39628","0.084","0.0","7","0.053","-6.697","0","0.473","Superinstrumental","692313","nan","SOUDSGM12AC9618304","261.747","114.041","4","0.878","Insatiable (Instrumental Version)","7684249","TRAAAVG12903CFA543","0"
